DestinationID,Name,County,LocationDefined,State,Zip,FiscalYear,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Meals
271,Riverhead / Ronkonkoma / Melville,"Suffolk County, NY",Suffolk,NY,00501,2026,155,155,155,155,155,155,155,155,155,155,155,155,86
271,Riverhead / Ronkonkoma / Melville,"Suffolk County, NY",Suffolk,NY,00544,2026,155,155,155,155,155,155,155,155,155,155,155,155,86
158,Springfield,"Hampden County, MA",Hampden,MA,01001,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01002,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01003,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01004,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
160,Worcester,"Worcester County, MA",Worcester,MA,01005,2026,135,135,135,135,135,135,135,135,135,135,135,135,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01007,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01008,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01009,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01010,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01011,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01011,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01012,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01013,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01014,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01020,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01021,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01022,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01026,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01027,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01028,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01029,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
158,Springfield,"Hampden County, MA",Hampden,MA,01030,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
160,Worcester,"Worcester County, MA",Worcester,MA,01031,2026,135,135,135,135,135,135,135,135,135,135,135,135,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01032,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01033,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01034,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01035,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01036,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
160,Worcester,"Worcester County, MA",Worcester,MA,01037,2026,135,135,135,135,135,135,135,135,135,135,135,135,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01038,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01039,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01040,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01041,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01050,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01053,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
0,Standard Rate,,,MA,01054,2026,110,110,110,110,110,110,110,110,110,110,110,110,68
154,Northampton,"Hampshire County, MA",Hampshire,MA,01054,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01056,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01057,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01059,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01060,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01061,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01062,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01063,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01066,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
160,Worcester,"Worcester County, MA",Worcester,MA,01068,2026,135,135,135,135,135,135,135,135,135,135,135,135,80
158,Springfield,"Hampden County, MA",Hampden,MA,01069,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01070,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01071,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
0,Standard Rate,,,MA,01072,2026,110,110,110,110,110,110,110,110,110,110,110,110,68
154,Northampton,"Hampshire County, MA",Hampshire,MA,01073,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
160,Worcester,"Worcester County, MA",Worcester,MA,01074,2026,135,135,135,135,135,135,135,135,135,135,135,135,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01075,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01075,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01077,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01079,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01080,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01081,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01082,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
160,Worcester,"Worcester County, MA",Worcester,MA,01083,2026,135,135,135,135,135,135,135,135,135,135,135,135,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01084,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01085,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01086,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01088,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01089,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01090,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
160,Worcester,"Worcester County, MA",Worcester,MA,01092,2026,135,135,135,135,135,135,135,135,135,135,135,135,80
0,Standard Rate,,,MA,01093,2026,110,110,110,110,110,110,110,110,110,110,110,110,68
160,Worcester,"Worcester County, MA",Worcester,MA,01094,2026,135,135,135,135,135,135,135,135,135,135,135,135,80
158,Springfield,"Hampden County, MA",Hampden,MA,01095,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01096,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01097,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01098,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01101,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01102,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01103,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01104,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01105,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01106,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01107,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01108,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01109,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01111,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01115,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01116,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01118,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01119,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01128,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01129,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01138,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01139,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01144,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01151,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01152,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01199,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01201,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01202,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01203,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01220,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01222,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01223,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
158,Springfield,"Hampden County, MA",Hampden,MA,01223,2026,128,128,128,128,128,128,128,128,128,128,128,128,74
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01224,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01225,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01226,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01227,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01229,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01230,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01235,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01236,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01237,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01238,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01240,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01242,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
154,Northampton,"Hampshire County, MA",Hampshire,MA,01243,2026,157,157,157,157,157,157,157,157,157,157,157,157,80
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01244,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01245,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01247,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01252,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01253,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01254,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01255,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01256,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01257,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01258,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01259,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01260,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01262,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01263,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01264,2026,136,136,136,136,136,136,136,136,136,178,178,136,86
