DestinationID,Name,County,LocationDefined,State,Zip,FiscalYear,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Meals
160,Worcester,"Worcester County, MA",Worcester,MA,01074,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01075,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01075,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01077,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01079,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01080,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01081,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01082,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
160,Worcester,"Worcester County, MA",Worcester,MA,01083,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01084,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01085,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01086,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01088,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01089,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01090,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
160,Worcester,"Worcester County, MA",Worcester,MA,01092,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
0,Standard Rate,,,MA,01093,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
160,Worcester,"Worcester County, MA",Worcester,MA,01094,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
158,Springfield,"Hampden County, MA",Hampden,MA,01095,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01096,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01097,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01098,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01101,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01102,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01103,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01104,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01105,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01106,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01107,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01108,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01109,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01111,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01115,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01116,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01118,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01119,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01128,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01129,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01138,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01139,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01144,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01151,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01152,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01199,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01201,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01202,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01203,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01220,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01222,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01223,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
158,Springfield,"Hampden County, MA",Hampden,MA,01223,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01224,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01225,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01226,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01227,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01229,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01230,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01235,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01236,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01237,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01238,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01240,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01242,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
154,Northampton,"Hampshire County, MA",Hampshire,MA,01243,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01244,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01245,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01247,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01252,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01253,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01254,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01255,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01256,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01257,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01258,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01259,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01260,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01262,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01263,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01264,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01266,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01267,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01270,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
0,Standard Rate,,,MA,01301,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01302,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01330,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
160,Worcester,"Worcester County, MA",Worcester,MA,01331,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
0,Standard Rate,,,MA,01337,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01338,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01339,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01340,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01341,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01342,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01343,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
0,Standard Rate,,,MA,01344,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01346,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01347,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01349,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01350,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01351,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01354,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01355,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01360,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01364,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01366,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
160,Worcester,"Worcester County, MA",Worcester,MA,01366,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
0,Standard Rate,,,MA,01367,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
160,Worcester,"Worcester County, MA",Worcester,MA,01368,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
0,Standard Rate,,,MA,01370,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01373,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01375,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01376,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01378,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01379,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
0,Standard Rate,,,MA,01380,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
160,Worcester,"Worcester County, MA",Worcester,MA,01420,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
160,Worcester,"Worcester County, MA",Worcester,MA,01430,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
149,Burlington / Woburn,"Middlesex County, MA",Middlesex less the city of Cambridge,MA,01431,2025,178,144,144,144,144,144,144,178,178,178,178,178,86
149,Burlington / Woburn,"Middlesex County, MA",Middlesex less the city of Cambridge,MA,01432,2025,178,144,144,144,144,144,144,178,178,178,178,178,86
0,Standard Rate,,,MA,01434,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
160,Worcester,"Worcester County, MA",Worcester,MA,01434,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
160,Worcester,"Worcester County, MA",Worcester,MA,01436,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
160,Worcester,"Worcester County, MA",Worcester,MA,01438,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
160,Worcester,"Worcester County, MA",Worcester,MA,01440,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
